master_sheet_region,master_sheet_district,geojson_district,geojson_region,match_method,note
Greater Accra,Adentan Municipal,ADENTA MUNICIPAL,GREATER ACCRA,manual_vetted,
Greater Accra,Ledzokuku Municipal,LEDZOKUKU MUNICIPAL,GREATER ACCRA,exact_normalized,
North East,Chereponi,CHEREPONI,NORTHERN EAST,exact_normalized,
Upper West,Wa East,WA EAST,UPPER WEST,exact_normalized,
Upper West,Wa Municipal,WA MUNICIPAL,UPPER WEST,exact_normalized,
Northern,Saboba,SABOBA,NORTHERN,exact_normalized,
Upper West,Jirapa Municipal,JIRAPA,UPPER WEST,exact_normalized,
Northern,Gushegu Municipal,GUSHEGU,NORTHERN,exact_normalized,
Upper West,Sissala West,SISSALA WEST,UPPER WEST,exact_normalized,
Northern,Nanumba North Municipal,NANUMBA NORTH,NORTHERN,exact_normalized,
Upper West,Lambussie Karni,LAMBUSSIE-KARNI,UPPER WEST,exact_normalized,
Upper East,Bolgatanga Municipal,BOLGATANGA MUNICIPAL,UPPER EAST,exact_normalized,
Northern,Nanumba South,NANUMBA SOUTH,NORTHERN,exact_normalized,
Bono,Wenchi Municipal,WENCHI MUNICIPAL,BONO,exact_normalized,
Upper East,Bongo,BONGO,UPPER EAST,exact_normalized,
Ahafo,Tano South Municipal,TANO SOUTH MUNICIPAL,AHAFO,exact_normalized,
Upper East,Kasena Nankana West,KASENA NANKANA WEST,UPPER EAST,exact_normalized,
Upper West,Wa West,WA WEST,UPPER WEST,exact_normalized,
Bono,Sunyani Municipal,SUNYANI MUNICIPAL,BONO,exact_normalized,
Savannah,Sawla Tuna Kalba,SAWLA-TUNA-KALBA,SAVANNAH,exact_normalized,
Ashanti,Asante Akim South Municipal,ASANTE AKIM SOUTH,ASHANTI,exact_normalized,
Upper West,Sissala East Municipal,SISSALA EAST,UPPER WEST,exact_normalized,
Greater Accra,Ada East,ADA EAST,GREATER ACCRA,exact_normalized,
Greater Accra,Shai-Osudoku,SHAI OSUDOKU,GREATER ACCRA,exact_normalized,
Upper East,Kasena Nankana Municipal,KASENA NANKANA EAST,UPPER EAST,manual_vetted,
Greater Accra,Ada West,ADA WEST,GREATER ACCRA,exact_normalized,
North East,Bunkpurugu Nakpanduri,BUNKPURUGU NAKPANDURI,NORTHERN EAST,exact_normalized,
Upper East,Garu,GARU,UPPER EAST,exact_normalized,
Greater Accra,Ningo-Prampram,NINGO/PRAMPRAM,GREATER ACCRA,exact_normalized,
North East,East Mamprusi Municipal,EAST MAMPRUSI,NORTHERN EAST,exact_normalized,
Greater Accra,La Dade-Kotopon Municipal,LA DADE-KOTOPON,GREATER ACCRA,exact_normalized,
Upper East,Bawku West,BAWKU WEST,UPPER EAST,exact_normalized,
Western North,Aowin Municipal,AOWIN,WESTERN NORTH,exact_normalized,
Bono,Dormaa East,DORMAA EAST,BONO,exact_normalized,
Western North,Suaman,SUAMAN,WESTERN NORTH,exact_normalized,
Bono,Berekum East Municipal,BEREKUM EAST MUNICIPAL,BONO,exact_normalized,
Western North,Bia East,BIA EAST,WESTERN NORTH,exact_normalized,
Bono,Jaman South,JAMAN SOUTH MUNICIPAL,BONO,exact_normalized,
Western North,Bia West,BIA WEST,WESTERN NORTH,exact_normalized,
Bono,Sunyani West Municipal,SUNYANI WEST,BONO,exact_normalized,
Ahafo,Asunafo North Municipal,ASUNAFO NORTH MUNICIPAL,AHAFO,exact_normalized,
Western North,Bodi,BODI,WESTERN NORTH,exact_normalized,
Western North,Juaboso,JUABOSO,WESTERN NORTH,exact_normalized,
Bono East,Nkoranza North,NKORANZA NORTH,BONO EAST,exact_normalized,
Bono East,Kintampo South,KINTAMPO SOUTH,BONO EAST,exact_normalized,
