district_id,Region,Class,Latitude,Longitude,total_pop,pop_0_14,pop_15_64,pop_65plus,child_pop_pct,poverty_incidence,poverty_intensity,census_uninsured_pct,illiterate_pct,employed_pct,imm_bcg_pct,imm_dpt1_pct,imm_dpt2_pct,imm_dpt3_pct,imm_polio1_pct,imm_polio2_pct,imm_polio3_pct,imm_measles_pct,imm_fully_vaccinated_pct,imm_no_vaccination_pct,dpt_dropout_rate,imm_coverage_composite,cm_u5mr,cm_imr,cm_nmr,diarrhea_prev_pct,dhs_no_insurance_women_pct,facility_delivery_pct,women_no_education_pct,women_literate_pct,risk_index_binary,risk_index_binary_rel,idri,lisa_cluster,gi_z,hotspot_flag
Asunafo North Municipal,Ahafo,Municipal,6.81509969999999,-2.67736640122449,151258,54201,91432,5625,35.83347657644554,26.1,42.0,14.236602361527986,26.32191355167991,34.12117045048857,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.25916674901856296,NS,-0.2835431537790745,0
Asunafo South,Ahafo,District,6.56280465,-2.53279356335542,91693,33853,54241,3599,36.91993936287394,26.2,42.7,47.49544676256639,28.8931543302106,35.63085513616088,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.40443161361044044,NS,-0.27143377457612283,0
Asutifi North,Ahafo,District,7.07651835,-2.52531850396715,73556,26046,44681,2829,35.40975583229105,26.6,43.1,17.297025395616945,25.550600902713576,33.20327369623144,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.30289028290778797,LL,-0.728033511724902,-1
Asutifi South,Ahafo,District,6.84924284999999,-2.46125343688365,67334,24916,39893,2525,37.00359402382155,23.2,42.4,21.672557697448543,29.25862120177028,32.05215789942674,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.32378178377672523,NS,-0.36950685734960353,0
Tano North Municipal,Ahafo,Municipal,7.19329065,-2.2080833699397,93838,32797,56534,4507,34.950659647477565,21.6,42.3,14.104094290159637,23.449988277670027,33.503484729001045,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.23775602739458862,NS,-0.5467844151438948,0
Tano South Municipal,Ahafo,Municipal,7.16093674999999,-1.99681708617696,86989,31841,51200,3948,36.60347860074262,23.7,42.6,20.452011173826577,27.90582717355068,33.336398855027646,88.8,91.7,90.5,88.5,88.6,85.5,78.5,84.1,70.8,8.3,3.200000000000003,0.8497499999999999,29.0,17.0,13.0,10.95,4.7,92.65,17.5,48.3,1,1,0.3082563209033532,NS,-0.23351911957726643,0
Adansi Asokwa,Ashanti,District,6.2467263,-1.50841,71844,26456,41999,3389,36.82423027671065,32.4,43.3,50.14893380101331,28.261232670786708,32.77935526975113,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.47223051545783445,NS,-0.10925289231766852,0
Adansi North,Ashanti,District,6.3006124,-1.5897139446089,54155,18243,33485,2427,33.68664019942757,19.7,42.8,27.63364416951343,18.157141538177456,32.15030929738713,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.2740085253401197,NS,-0.39685889527384627,0
Adansi South,Ashanti,District,6.00427495,-1.39314032189093,85200,31297,49996,3907,36.733568075117375,35.0,43.2,46.093896713615024,27.070422535211268,34.78051643192489,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.4437111532082894,NS,0.18929467957085294,0
Afigya Kwabre North,Ashanti,District,7.03891495,-1.62667127242319,73330,29049,41355,2926,39.614073366971226,25.2,43.7,30.1200054547934,23.979271785081146,29.11495977089868,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.42862786745647763,NS,-0.16050104345156688,0
Afigya Kwabre South,Ashanti,District,6.83998064999999,-1.60957900170106,234667,86710,141162,6795,36.95023160478465,13.0,43.3,24.97112930237315,13.424980930424816,31.968278454149925,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.2724205014005575,LL,-0.5784181919614492,-1
Ahafo Ano North Municipal,Ashanti,Municipal,6.90966445,-2.23301229669742,92742,34011,54838,3893,36.6727049233357,26.5,41.2,30.63768303465528,24.91643484074098,36.02143581117509,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.28546304609546874,NS,-0.4025532118977412,0
Ahafo Ano South East,Ashanti,District,6.94633355,-1.90095355028736,63468,25185,35377,2906,39.68141425600302,31.8,42.5,32.337555933698866,32.235142118863045,32.394277431146406,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.42856833904164626,NS,-0.25288821538513145,0
Ahafo Ano South West,Ashanti,District,6.8289788,-2.00038660056909,65770,24659,38142,2969,37.49277786224722,31.9,41.8,37.518625513151896,31.427702599969592,34.75748821651209,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.385187127738947,NS,-0.19027550893645578,0
Akrofuom,Ashanti,District,6.03262245,-1.67136425707588,49291,17491,29718,2082,35.48517985027693,37.0,44.2,42.83946359375951,30.033880424418253,32.70171025136435,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.48083075682361714,NS,-0.14484644251802825,0
Amansie Central,Ashanti,District,6.20744165,-1.82814118592735,93052,32406,56066,4580,34.8256888621416,28.6,43.3,33.994970554098785,29.44160254481365,36.08734900915617,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.3591815327112452,NS,-0.14302972239558,0
Amansie South,Ashanti,District,6.30802585,-2.01186652006877,113155,37756,72001,3398,33.36662100658389,30.3,44.4,48.13839423799213,30.172771861605764,36.24232247801688,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.43291583080257084,NS,-0.12073425342239055,0
Amansie West,Ashanti,District,6.43975084999999,-1.85237045719587,112627,41149,67184,4294,36.53564420609623,31.0,44.7,43.01810400703206,26.997078853205718,30.3275413533167,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.4930296812956306,NS,-0.22901509589671384,0
Asante Akim Central Municipal,Ashanti,Municipal,6.56465915,-1.25347851347396,91673,31400,56241,4032,34.25217894036412,16.9,42.6,19.683003719743,17.219901170464585,32.1283256793167,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.2328106398275312,NS,-0.45066311191077785,0
Asante Akim North Municipal,Ashanti,Municipal,6.906722,-0.958978,85202,28732,52202,4268,33.72221309358935,26.0,42.1,33.99920189666909,23.846858054975232,35.04025727095608,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.2958810408127521,NS,-0.17090676242287967,0
Asante Akim South Municipal,Ashanti,Municipal,6.46141735,-1.11533920112058,123633,46188,70310,7135,37.35895755987479,24.6,42.2,32.611843116320074,25.618564622714,35.180736534743964,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.32905423919035065,NS,-0.23906720255765118,0
Asokore Mampong Municipal,Ashanti,Municipal,6.7077852,-1.5665013,191402,62820,120969,7613,32.820973657537536,11.3,42.7,20.275127741611897,19.35089497497414,34.58689041911788,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.1911110907271218,LL,-1.0323422695171491,-1
Asokwa Municipal,Ashanti,Municipal,6.6739843,-1.6026178,125642,39287,81383,4972,31.269002403654827,6.3,41.4,14.247624202098024,10.732080036930329,38.44096719249933,97.2,99.4,97.9,92.7,99.3,95.0,89.9,91.9,80.3,0.0,6.700000000000003,0.92925,45.0,34.0,23.0,17.6,7.5,91.85,9.0,61.5,0,0,0.04192364225327965,LL,-1.1116980676331085,-1
